Property_ID,Arrondissement,Property_Type,Size_sqm,Rooms,Floor,Year_Built,Condition,Distance_to_Center_km,Price_EUR
P10043,20,Penthouse,172,5,7,1876,Needs Renovation,6.8,2380635.8
P10044,1,Apartment,35,1,0,1910,Renovated,7.74,522299.63
P10045,10,Studio,18,3,0,2021,New,14.14,310007.67
P10046,8,Apartment,60,5,8,1886,New,13.96,1116115.7
P10047,16,Apartment,60,5,0,1965,Good,4.77,892050.58
P10048,5,Loft,174,1,1,1874,Good,6.22,2053733.15
P10049,9,Loft,68,2,7,1963,Good,9.42,1302893.74
P10050,18,Studio,100,2,9,1979,Renovated,5.18,1104996.38
P10051,13,Penthouse,118,1,5,1888,Needs Renovation,4.76,1137455.81
P10052,17,Loft,40,3,7,1862,New,1.68,442979.33
P10053,8,Studio,149,1,3,1914,New,1.53,2314675.21
P10054,11,Apartment,158,4,1,1915,Good,6.86,2945026.11
P10055,19,Studio,100,3,5,1907,New,12.98,1358717.62
P10056,3,Apartment,63,4,5,1950,Good,8.07,533359.06
P10057,3,Apartment,67,4,4,1952,Renovated,1.74,709520.11
P10058,3,Studio,123,4,2,1904,Renovated,2.51,1591158.36
P10059,16,Studio,158,5,9,2007,Good,1.1,3102241.9
P10060,19,Loft,134,3,6,1939,Good,0.87,1777866.04
P10061,16,Loft,131,1,0,1907,Good,13.77,2130321.84
P10062,4,Apartment,48,1,4,1978,Needs Renovation,14.35,764273.69
P10063,12,Loft,83,5,9,1993,Needs Renovation,2.8,1081921.66
P10064,15,Apartment,100,1,4,1896,New,1.09,1210255.6
P10065,2,Loft,158,2,4,1888,Renovated,5.52,2711338.95
P10066,4,Studio,115,2,4,1949,Good,1.16,1769873.14
P10067,7,Loft,152,2,0,1918,Good,10.42,2918587.83
P10068,14,Studio,30,2,3,2001,Renovated,10.32,249544.07
P10069,15,Studio,177,4,2,2020,New,14.15,1688934.75
P10070,15,Apartment,81,1,9,1892,New,3.34,1582277.23
P10071,18,Apartment,155,4,1,1884,New,5.38,1427447.08
P10072,8,Studio,104,5,9,2011,Needs Renovation,4.28,1886404.39
P10073,16,Loft,149,4,1,1924,Good,13.22,2430887.96
P10074,13,Apartment,178,1,8,2013,Good,3.07,3140235.27
P10075,13,Apartment,166,3,3,1945,Needs Renovation,5.44,3301086.24
P10076,9,Loft,51,4,6,1948,Renovated,2,670544.34
P10077,14,Loft,31,1,8,1935,Good,4.82,435953.88
P10078,7,Penthouse,33,1,8,1996,Good,1.82,285180.18
P10079,2,Apartment,42,4,4,1918,Renovated,4.75,625012.7
P10080,2,Apartment,39,4,3,1902,Needs Renovation,11.98,626738.64
P10081,17,Studio,71,5,9,2016,New,14.94,1361151.6
P10082,17,Apartment,136,5,1,1925,Good,10.48,2290842.03
P10083,3,Apartment,159,5,7,2019,Good,6.25,2871821.3
P10084,13,Apartment,41,2,4,2015,Good,14.81,400129.57
P10085,19,Apartment,123,1,0,1920,New,14.8,2283411.31
P10086,14,Penthouse,146,4,2,1957,Renovated,8.6,1827206.79
P10087,7,Penthouse,105,2,6,1975,Good,7.64,1982006.53
P10088,9,Loft,155,2,9,1997,Good,2.22,2111708.79
P10089,10,Loft,75,1,2,1941,Renovated,14.45,1269790.49
P10090,3,Apartment,127,1,5,1966,Needs Renovation,14.47,2339745.07
P10091,20,Apartment,58,5,4,1929,New,8.15,1139035.66
P10092,18,Studio,178,3,8,1995,Renovated,2.91,2909398.16
P10093,5,Penthouse,63,1,5,1852,New,13.57,978433.91
P10094,8,Penthouse,199,3,7,1951,Renovated,7.11,2262940.1
P10095,6,Loft,170,5,3,1939,Renovated,6.13,1925857.61
P10096,20,Apartment,74,2,4,1890,Renovated,4.27,828152.88
P10097,4,Studio,169,1,4,2006,Renovated,2.43,1919360.39
P10098,4,Apartment,49,5,2,1896,Good,13.83,945032.71
P10099,9,Penthouse,24,2,4,1968,Good,6.46,350857.31
P10100,11,Studio,132,1,0,1860,Renovated,9.11,1816906.21
P10101,17,Loft,77,1,0,2010,Renovated,7.3,1512200.9
P10102,2,Apartment,113,1,6,1855,Needs Renovation,10.53,922539.18
P10103,9,Apartment,109,5,4,1872,New,11.65,2175600.98
P10104,11,Studio,179,2,0,1934,Renovated,7.03,3257042.6
P10105,6,Loft,124,1,3,1962,Needs Renovation,11.48,2411627.93
P10106,18,Apartment,48,4,6,2003,New,7.72,538755.35
P10107,3,Studio,196,3,0,1903,New,14.54,2791424.55
P10108,12,Studio,71,1,6,1934,Needs Renovation,9.77,682180.97
P10109,5,Apartment,89,3,1,1887,Renovated,9.32,1676565.33
P10110,12,Apartment,96,3,1,1901,Renovated,8.44,872834.41
P10111,7,Studio,93,4,9,1900,New,10.62,1076522.75
P10112,12,Loft,43,4,0,1923,Good,11.65,581022.95
P10113,8,Studio,98,5,4,1975,Good,9.68,1936518.31
P10114,14,Apartment,129,1,5,1993,Good,9.79,1744264.46
P10115,11,Loft,118,4,2,1945,Good,7.37,1433464.87
P10116,9,Studio,107,2,2,1996,New,12.42,1628885.05
P10117,13,Apartment,106,2,4,1919,Needs Renovation,2.25,1073157.34
P10118,8,Studio,26,2,0,1927,Needs Renovation,5.29,486995.79
P10119,12,Penthouse,169,1,8,1905,Good,13.17,1539165.31
P10120,8,Apartment,77,5,3,1850,Good,1.73,618397.8
P10121,13,Penthouse,113,5,7,1863,Renovated,9.46,2241364.49
P10122,3,Penthouse,92,2,7,1964,Renovated,10.84,1561207.92
P10123,17,Loft,125,3,1,1887,Renovated,8.22,1798170.23
P10124,1,Apartment,29,1,9,1888,Renovated,5.17,488617.01
P10125,6,Penthouse,100,2,8,1994,New,5.47,1442402.68
P10126,4,Loft,39,4,8,1958,Renovated,7.45,478188.81
P10127,11,Loft,125,2,7,1962,New,8.68,1836613.4
P10128,13,Studio,56,1,3,1875,Renovated,9.31,674764.27
P10129,2,Loft,198,3,4,1970,New,3.94,3927960.23
P10130,17,Studio,164,5,6,1961,Renovated,2.83,1612826.79
P10131,14,Apartment,89,1,2,1880,Renovated,6.45,797689.64
P10132,20,Penthouse,50,2,3,1928,New,12.35,745599.05
P10133,10,Penthouse,127,3,1,1928,Needs Renovation,8.26,2266992.89
P10134,11,Loft,40,3,4,1919,Renovated,14.54,722519.63
P10135,18,Studio,82,3,3,1962,Good,8.18,852314.82
P10136,14,Loft,15,2,5,1886,Good,7.84,258200.31
P10137,20,Penthouse,114,5,0,1983,Needs Renovation,5.38,1640582.34
P10138,18,Apartment,24,5,1,1862,Renovated,10.43,210251.99
P10139,10,Studio,98,1,8,1866,Needs Renovation,2.19,947257.93
P10140,19,Penthouse,157,3,0,1918,Needs Renovation,12.54,1913267.81
P10141,15,Loft,192,5,8,2011,Good,3.13,3219918.66
P10142,17,Loft,49,1,5,1909,Good,12.71,827778.94
P10143,3,Penthouse,86,3,2,2014,Renovated,12.31,1508715.87
P10144,3,Studio,137,2,8,1891,Renovated,6.19,2588531.92
P10145,8,Studio,54,3,0,1872,Good,6.86,836417.8
P10146,1,Apartment,167,1,6,1902,Good,13.64,3138747.44
P10147,16,Apartment,193,3,2,1984,Needs Renovation,11.09,2543419.18
P10148,14,Studio,56,4,0,2004,Needs Renovation,11.93,981584.93
P10149,16,Loft,52,1,4,2004,Good,11.29,610514.57
P10150,5,Apartment,100,2,9,1946,New,1.99,1714950.42
P10151,14,Studio,155,4,3,1864,Good,12.06,2090020.41
P10152,17,Loft,19,5,1,2004,New,9.8,204269.32
P10153,18,Studio,178,4,4,1997,New,3.13,2953758.5
P10154,15,Studio,88,2,9,1990,Needs Renovation,2.52,1704331.21
P10155,17,Penthouse,125,4,3,1917,Needs Renovation,11.96,1889444.36
P10156,20,Loft,51,2,9,1986,Needs Renovation,6.65,880002.96
P10157,6,Loft,43,1,6,1850,Needs Renovation,2.14,821593.35
P10158,9,Studio,163,2,5,1906,Renovated,5.32,2944884.66
P10159,17,Loft,196,3,4,1902,Good,5.36,2958679.82
P10160,9,Loft,194,1,8,1884,New,6.27,1562783.35
P10161,10,Studio,39,2,1,1984,Renovated,5.53,742492.43
P10162,11,Penthouse,176,3,2,2001,New,8.88,2363084.29
P10163,5,Studio,194,5,0,1878,Good,8.92,3681761.26
P10164,13,Studio,164,2,4,1898,Good,3.08,1337769.89
P10165,3,Loft,98,1,5,1935,Needs Renovation,1.74,958827.37
P10166,11,Loft,118,1,6,1972,Needs Renovation,12.1,1368227.81
P10167,2,Studio,76,5,7,1868,Needs Renovation,1.45,1177978.1
P10168,13,Apartment,92,3,1,1962,Needs Renovation,6.31,1236430.87
P10169,16,Apartment,180,3,0,1857,Renovated,13,1775318.93
P10170,10,Loft,117,3,9,1959,Needs Renovation,8.14,1460126.28
P10171,18,Studio,101,4,6,1942,Needs Renovation,6.42,1825824.1
P10172,8,Penthouse,71,3,7,1903,Needs Renovation,5.42,764875.73
P10173,16,Apartment,81,3,7,2011,Needs Renovation,12.18,1282469.22
P10174,11,Loft,102,3,3,2014,Good,2.55,1994282.77
P10175,15,Studio,156,2,6,2010,New,3.51,1272339.6
P10176,13,Apartment,161,5,1,1851,New,13.7,2981289.95
P10177,14,Studio,162,3,1,1968,Needs Renovation,4.39,1800319.15
P10178,6,Apartment,19,5,8,1902,Renovated,4.77,245345.86
P10179,13,Penthouse,100,4,9,2007,Good,7.57,968135.81
P10180,15,Penthouse,142,1,0,1863,Renovated,11.25,1962062.34
P10181,13,Penthouse,39,1,3,2003,Needs Renovation,8.12,377218.64
P10182,9,Apartment,123,2,5,1995,Needs Renovation,8.18,1385925.61
P10183,1,Apartment,56,4,1,1866,Renovated,6.38,782716.99
P10184,8,Apartment,136,4,9,1935,New,2.48,1424879.52
P10185,1,Studio,71,3,8,1902,Good,3.04,1076995.96
P10186,1,Studio,187,1,9,1895,Good,1.18,2435721.06
P10187,5,Loft,68,3,4,1885,New,11.68,694446.67
P10188,19,Studio,43,5,3,1962,Needs Renovation,10.96,775932.76
P10189,9,Penthouse,68,2,7,1999,Good,11.12,867665.89
P10190,20,Apartment,47,2,3,1930,Good,7.7,393587.29
P10191,10,Apartment,123,3,9,1922,New,1.59,1477343.98
P10192,10,Loft,31,1,7,1891,Needs Renovation,7.17,432322.77
P10193,7,Apartment,49,3,2,1951,Good,9.06,437726.02
P10194,4,Penthouse,33,5,0,1866,New,14.28,300266.5
P10195,19,Apartment,69,1,7,1932,Renovated,11.12,705290.07
P10196,18,Loft,163,1,5,1874,Renovated,13.6,2592580.27
P10197,3,Penthouse,26,3,9,1896,New,1.14,516152.42
P10198,14,Loft,30,1,4,1935,New,13.77,305007.12
